isLocalGuide,likesCount,fecha,tiempo_espera_reportado,rating_ambiente,rating_comida,rating_servicio,reviewerNumberOfReviews,rating,review_texto,restaurante,tiene_texto,text_limpio,idioma_detectado
False,0,2021-10-28 01:18:25.107000+00:00,,,,,2,5,"Sabrosa comida, buena atención 👌",Rukito Grill&Drink - Alborada,True,"Sabrosa comida, buena atención 👌",es
True,1,2022-03-23 01:45:59.594000+00:00,,,,,46,5,"Lindo lugar, excelente comida y precios módicos",Rukito Grill&Drink - Alborada,True,"Lindo lugar, excelente comida y precios módicos",es
True,0,2022-03-28 08:37:42.105000+00:00,,,,,29,1,Se demoraron mucho en tomar el pedido y la comida no me pareció nada del otro mundo,Rukito Grill&Drink - Alborada,True,Se demoraron mucho en tomar el pedido y la comida no me pareció nada del otro mundo,es
False,0,2021-12-17 17:24:31.162000+00:00,,,,,3,5,Ya había provado x eso fui ricaaaaa la comidaaaaa,Rukito Grill&Drink - Alborada,True,Ya había provado x eso fui ricaaaaa la comidaaaaa,so
True,0,2021-01-25 15:54:40.193000+00:00,,,,,187,5,Muy rico los platos,Rukito Grill&Drink - Alborada,True,Muy rico los platos,es
True,0,2023-01-27 01:04:17.398000+00:00,,4.0,5.0,5.0,15,5,Merecen cada pedazo de éxito que tienen. Es un gran lugar para pasar con amigos.,Rukito Grill&Drink - Alborada,True,Merecen cada pedazo de éxito que tienen. Es un gran lugar para pasar con amigos.,es
False,0,2021-03-14 02:54:59.349000+00:00,,,,,1,5,Muy rico y super atentos los meseros,Rukito Grill&Drink - Alborada,True,Muy rico y super atentos los meseros,es
True,0,2022-02-05 12:18:02.689000+00:00,,,,,314,5,"Buen sabor, precios populares y buena atención.",Rukito Grill&Drink - Alborada,True,"Buen sabor, precios populares y buena atención.",es
False,0,2021-06-16 23:43:08.412000+00:00,,,,,6,5,Excelente atención y súper rico 🤤👌🏼,Rukito Grill&Drink - Alborada,True,Excelente atención y súper rico 🤤👌🏼,es
True,0,2023-09-26 15:44:14.623000+00:00,,5.0,5.0,5.0,8,5,Muy agradable para compartir en familia y amigos...,Rukito Grill&Drink - Alborada,True,Muy agradable para compartir en familia y amigos...,es
True,1,2020-11-20 18:03:23.449000+00:00,,,,,89,4,"La cómida muy buena felicitaciones lo único no tienen variedad de ensaladas
Saludos",Rukito Grill&Drink - Alborada,True,La cómida muy buena felicitaciones lo único no tienen variedad de ensaladas Saludos,es
True,0,2021-08-30 14:06:29.621000+00:00,,,,,194,3,"Buenazo
Variedad carnes
Precios más o menos
Porciones grandes, para compartir.",Rukito Grill&Drink - Alborada,True,"Buenazo Variedad carnes Precios más o menos Porciones grandes, para compartir.",es
