isLocalGuide,likesCount,fecha,tiempo_espera_reportado,rating_ambiente,rating_comida,rating_servicio,reviewerNumberOfReviews,rating,review_texto,restaurante,tiene_texto,text_limpio,idioma_detectado,sentimiento,prob_positivo,prob_negativo,prob_neutral
True,0,2022-03-31 00:21:11.358000+00:00,,,,,113,5,Un lugar acogedor con rica comida,Casa Res | Steak House (Mall del Sol),True,Un lugar acogedor con rica comida,es,POS,0.9510810375213623,0.002334937918931246,0.046584054827690125
True,0,2020-03-02 02:55:23.361000+00:00,,,,,124,5,Excelente,Casa Res | Steak House (Mall del Sol),True,Excelente,es,NEU,0.3187224268913269,0.20341528952121735,0.47786223888397217
True,0,2020-02-24 00:59:24.277000+00:00,,,,,36,5,Riquisimo,Casa Res | Steak House (Mall del Sol),True,Riquisimo,es,POS,0.6862136125564575,0.046287912875413895,0.2674984633922577
False,0,2021-05-30 00:16:54.023000+00:00,,,,,11,5,Buen lugar,Casa Res | Steak House (Mall del Sol),True,Buen lugar,es,NEU,0.35801565647125244,0.11983226239681244,0.5221520662307739
True,0,2021-10-08 21:36:27.003000+00:00,,,,,230,3,Esperaba algo mejor..,Casa Res | Steak House (Mall del Sol),True,Esperaba algo mejor..,es,NEU,0.4284500777721405,0.11394517123699188,0.4576047956943512
False,0,2020-09-01 22:12:23.410000+00:00,,,,,11,5,Excelente ambiente,Casa Res | Steak House (Mall del Sol),True,Excelente ambiente,es,POS,0.5616781711578369,0.06561208516359329,0.37270981073379517
False,0,2021-12-24 22:51:01.570000+00:00,,,,,7,5,Bueno,Casa Res | Steak House (Mall del Sol),True,Bueno,es,NEU,0.1920892894268036,0.1986471563577652,0.6092634797096252
False,0,2020-05-14 01:54:46.795000+00:00,,,,,3,5,Todo,Casa Res | Steak House (Mall del Sol),True,Todo,es,NEU,0.13135497272014618,0.37305140495300293,0.4955936372280121
True,0,2020-09-19 23:16:57.025000+00:00,,,,,23,5,Excelente  atención,Casa Res | Steak House (Mall del Sol),True,Excelente atención,es,POS,0.5032982230186462,0.07913434505462646,0.41756752133369446
True,0,2021-01-28 03:08:13.159000+00:00,,,,,88,4,Bueno,Casa Res | Steak House (Mall del Sol),True,Bueno,es,NEU,0.1920892894268036,0.1986471563577652,0.6092634797096252
True,0,2022-05-22 03:27:45.475000+00:00,,,,,14,5,🤩💎,Casa Res | Steak House (Mall del Sol),True,🤩💎,es,NEU,0.40912866592407227,0.06173619255423546,0.5291350483894348
True,0,2021-09-09 00:27:43.879000+00:00,,,,,28,5,Buenas carnes,Casa Res | Steak House (Mall del Sol),True,Buenas carnes,es,NEU,0.23188713192939758,0.15559816360473633,0.6125147342681885
False,0,2022-01-27 04:20:21.364000+00:00,,,,,5,5,🥰,Casa Res | Steak House (Mall del Sol),True,🥰,es,NEU,0.4136057198047638,0.04309450834989548,0.5432997345924377
True,0,2022-03-28 15:56:06.158000+00:00,,,,,59,5,Rico,Casa Res | Steak House (Mall del Sol),True,Rico,es,NEU,0.26727649569511414,0.21633897721767426,0.5163845419883728
True,0,2022-03-25 22:01:56.952000+00:00,,,,,16,5,🤗🤗,Casa Res | Steak House (Mall del Sol),True,🤗🤗,es,NEU,0.24818721413612366,0.06165342032909393,0.6901593804359436
True,0,2020-08-02 14:44:45.116000+00:00,,,,,69,5,Me encanta,Casa Res | Steak House (Mall del Sol),True,Me encanta,es,POS,0.4725569486618042,0.1484062224626541,0.3790367841720581
False,0,2020-07-11 02:29:37.218000+00:00,,,,,14,5,Excelente,Casa Res | Steak House (Mall del Sol),True,Excelente,es,NEU,0.3187224268913269,0.20341528952121735,0.47786223888397217
True,0,2020-02-07 17:18:26.863000+00:00,,,,,456,5,Rico,Casa Res | Steak House (Mall del Sol),True,Rico,es,NEU,0.26727649569511414,0.21633897721767426,0.5163845419883728
True,0,2020-09-01 18:46:24.878000+00:00,,,,,98,5,Delicioso,Casa Res | Steak House (Mall del Sol),True,Delicioso,es,NEU,0.18431298434734344,0.2945018410682678,0.5211851596832275
True,0,2021-11-27 18:41:00.539000+00:00,,,,,35,4,🙁,Casa Res | Steak House (Mall del Sol),True,🙁,es,NEG,0.004621830768883228,0.8737841844558716,0.12159396708011627
True,0,2024-09-04 22:43:31.873000+00:00,,5.0,5.0,5.0,161,5,Excelente,Casa Res | Steak House (Mall del Sol),True,Excelente,es,NEU,0.3187224268913269,0.20341528952121735,0.47786223888397217
